CODE,FUNCTION,DESCRIPTION,MODEL,TABLE NAME,DIAGRAM
AUTH-101,LOGIN,"1. Input Email/Password từ client
2. Validation Email/Password format
3. Check User tồn tại trong database
4. Check User isActive = true
5. Compare Password hash với bcrypt
6. Generate JWT Access Token (15 min expiry)
7. Generate Refresh Token (7 days expiry)
8. Hash và lưu Refresh Token vào database
9. Trả về Access Token + Refresh Token
10. Frontend lưu tokens vào Local Storage",User,users,SEQUENCE ACTIVITY
AUTH-102,REGISTER,"1. Input Email/Password/Name từ client
2. Validation Email format, Password strength
3. Check Email đã tồn tại chưa (unique constraint)
4. Hash Password với bcrypt (10 rounds)
5. Create User mới với role = ADMIN/TENANT
6. Generate JWT Access Token
7. Generate Refresh Token
8. Hash và lưu Refresh Token vào database
9. Trả về Access Token + Refresh Token + User info",User,users,SEQUENCE ACTIVITY
AUTH-103,REFRESH-TOKEN,"1. Lấy Refresh Token từ request body
2. Check User ID từ token payload
3. Get User từ database
4. Compare Refresh Token hash với token trong database
5. Check Token chưa expire
6. Generate JWT Access Token mới
7. Generate Refresh Token mới
8. Update Refresh Token hash trong database
9. Trả về Access Token + Refresh Token mới",User,users,SEQUENCE ACTIVITY
AUTH-104,FORGOT-PASSWORD,"1. Input Email từ client
2. Validation Email format
3. Check User tồn tại
4. Generate random Reset Token (40 ký tự)
5. Set Reset Token Expiry = current time + 1 hour
6. Lưu resetToken + resetTokenExp vào database
7. Send Email với link reset password (chứa token)
8. Trả về success message",User,users,SEQUENCE ACTIVITY
AUTH-105,RESET-PASSWORD,"1. Input Reset Token + New Password từ client
2. Find User by resetToken trong database
3. Check resetTokenExp > current time (chưa hết hạn)
4. Validation New Password strength
5. Hash New Password với bcrypt
6. Update User password
7. Clear resetToken và resetTokenExp (set null)
8. Trả về success message",User,users,SEQUENCE ACTIVITY
AUTH-106,LOGOUT,"1. Lấy User ID từ JWT token
2. Find User trong database
3. Set refreshToken = null
4. Frontend xóa tokens khỏi Local Storage
5. Trả về success message",User,users,SEQUENCE ACTIVITY
BLD-201,CREATE-BUILDING,"1. Lấy JWT sau khi phân rã (chứa ID, Role)
2. Check Role = ADMIN
3. Input name, address từ client
4. Validation name không trống, address hợp lệ
5. CREATE Building mới
6. Trả về Building info",Building,buildings,SEQUENCE ACTIVITY
BLD-202,GET-ALL-BUILDINGS,"1. Lấy JWT sau khi phân rã
2. Check Role = ADMIN
3. Query all Buildings từ database
4. Với mỗi Building: Count total rooms, Count rooms by status, Sum revenue từ rented rooms
5. Aggregate statistics
6. Trả về danh sách Buildings với stats","Building, Room","buildings, rooms",SEQUENCE ACTIVITY
BLD-203,GET-BUILDING-DETAIL,"1. Lấy JWT sau khi phân rã
2. Check Role = ADMIN
3. Input Building ID từ params
4. Check Building tồn tại
5. Query Building với include rooms
6. Calculate room statistics
7. Trả về Building detail + rooms list","Building, Room","buildings, rooms",SEQUENCE ACTIVITY
BLD-204,UPDATE-BUILDING,"1. Lấy JWT sau khi phân rã
2. Check Role = ADMIN
3. Input Building ID + update data (name, address)
4. Check Building tồn tại
5. Validation update data
6. UPDATE Building
7. Trả về updated Building",Building,buildings,SEQUENCE ACTIVITY
